score,title,user_name,user_country,review_date,is_verified,review_body,airline,seat,aircraft,layout
9,very nice seat,Timotheus Krahl,Malaysia,25th July 2015,,"Very nice seat, you were able to move the cushion back and forth and not only the backrest. Did not see any power outlets other than the USB, but was not in need for it. However the iPod function does not work as I hoped, it picked random songs from the phone, no AirPlay.",Singapore Airlines ,Economy Class,A330,2x4x2
8,cabin was a bit worn out,T Krahl,Malaysia,25th July 2015,,"The cabin was a bit worn out, Singapore Airlines is currently retrofitting all of its 777 and my flight was just the ""wrong"" plane. They will soon introduce Premium Economy on the route to Sydney, so getting a retrofitted plane will be a safe bet on this route starting in middle of August. ",Singapore Airlines ,Economy Class,Boeing 777,3x3x3
9,service was also excellent,A Butler,United States,15th July 2015,,"Los Angeles to Tokyo. The legroom and footrest were really comfortable. For dinner, I had the pork chop, which was the best airline food I've had. On the tv, they had many selections of music, movies, shows and much more. The service was also excellent. ",Singapore Airlines ,Economy Class,A380,3x4x3
10,large leg room,Ian Chow,Singapore,13th July 2015,,"Large leg room. On the 2nd deck, there's even a personal side compartment for passengers to store their personal belongings. Comfortable seats with neck support and ample room to move every once in awhile.",Singapore Airlines ,Economy Class,A380,3x4x3
6,sub standard seating and entertainment,C Waugh,Australia,9th July 2015,,"I love Singapore Airlines - however having flown twice out of Melbourne I don't understand why they out such an old aircraft on this route. Sub standard seating and entertainment and the plane looks shabby. Flying out of Singapore is a different story - newer aircraft and a completely different flying experience. Saying that, Singapore Airlines service is fabulous and they do a lot with the Y class product - just wish they flew newer aircraft out of Melbourne! What's with people who recline seats in economy?",Singapore Airlines ,Economy Class,Boeing 777-300,3x3x3
10,seats were great,Adam Koh,Singapore,22nd June 2015,,"HKG-SIN flight was great. The amount of legroom was good for me and the IFE was fantastic. The seats were great, comfortable and could recline decently. Service could be better as they looked tired. Overall, it is a great airline to fly with!",Singapore Airlines ,Economy Class,Boeing 777-200,3x3x3
9,seat is well-cushioned,William Lay,Indonesia,18th June 2015,,Singapore-Surabaya. The seat is very comfortable and the seat is well-cushioned and enough leg room for tall people. The entertainment is very good with latest movies and good flight map information provided.,Singapore Airlines ,Economy Class,A330-300,2x4x2
9,good seat pitch,Duncan Kauffman,Australia,17th June 2015,,"Leather headrest wings were very comfortable indeed. Excellent amount of space in the overhead lockers. Good seat pitch. Folding tray table designed cleverly. Only drawback is lack of touchscreen functionality on VOD, which required using the handset whose buttons had begun to lose their responsiveness. Overall a great economy class seat.",Singapore Airlines ,Economy Class,A380,3x4x3
8,not very accessible,Jordan Ng,Singapore,13th June 2015,,Access to aisle was not very accessible. The in-flight entertainment would make up for it.,Singapore Airlines ,Economy Class,A330,2x4x2
2,the least legroom I've experienced,John Nowlan,Canada,28th January 2015,,Seats have the least legroom I've ever experienced. Clearly designed for short people. The in-seat TVs are a good size but controls confusing. They need touch screen.,Singapore Airlines ,Economy Class,BOEING 777-300,3x3x3
6,seat is very comfortable,K Lo,Hong Kong,19th November 2014,,The seat is very comfortable and the seat is well-cushioned and enough leg room for tall-people. As the flight is from Tokyo to LAX so the temperature is very high for non-Japanese. Wide selection for PTV and catering is very good and they have a good Japanese bento for inflight meal.,Singapore Airlines ,Economy Class,AIRBUS A380,3x4x3
1,smallest economy seats in the sky,P Borschberg,Singapore,19th November 2014,,SIA must have some of the smallest economy seats in the sky! I have had better ones in budget airlines. Very uncomfortable narrow and not enough leg room. The only thing going for it was the size of the monitor.,Singapore Airlines ,Economy Class,BOEING 777-300,3x3x3
8,quite satisfactory leg room,Harsh Mehta,India,3rd March 2014,,B777-200ER: Economy Class. (BOM-SIN). Comfortable seats with quite satisfactory leg room. Recline angles need improvement as the seats must recline to comfort during long haul flights which seems to be missing.,Singapore Airlines ,Economy Class,BOEING 777-200ER,3x3x3
1,seats were very uncomfortable,J Barnes,United Kingdom,13th January 2014,,These seats were very uncomfortable. They didn't seem to have any padding and were really hard. I had back trouble for a week after both trips London/Singapore Singapore/London. The head rests were also uncomfortable. I travelled on the A380 in March 2012 and that one was better. A number of passengers were saying the same thing. Apart from that the plane felt very spacious and the service wonderful.,Singapore Airlines ,Economy Class,AIRBUS A380,3x3x3
2,not at all comfortable,Michael Lovatt,United Kingdom,12th January 2014,,The A380 economy seat even in the $50 surcharged premium seats are fitted with very thin cushions to save weight. They are ok for a short flight of 1-2 hours but not at all comfortable for 13 hours long haul.,Singapore Airlines ,Economy Class,AIRBUS A380,3x4x3
10,seat is quite comfortable,Huy Vu,Vietnam,12th January 2014,,Singapore-Male. The seat is quite comfortable with wide space. The entertainment is excellent with latest movies and music I can keep track where I am by flight information. The food is good not good as Malaysia Airlines but the attitude of the crew when they serve you meals is excellent.,Singapore Airlines ,Economy Class,AIRBUS A330-300,2x4x2
5,very clean and tidy inside,R Woodward,Australia,20th April 2013,,First of all if you are planning on flying the A380 with SQ I would suggest you get in early and book an upper deck seat. The cabin is much quieter than the main deck making it easier to sleep etc on long trips. The aircraft appeared to be new and was . As for the seating itself economy class is not as comfortable as I expected with the seats feeling somewhat smaller and more cramped then the cozy older generation seats in the SQ B777-200 that flies from Singapore to Manila. The entertainment system food customer service however were all excellent on all my SQ flights. Being a rather small asian framed person I think it would be quite difficult for a 6ft European to travel long distances in the SQ A380 economy class but I doubt any other carriers would offer anything better without having to pay for business class. In terms of seat width legroom and access these seats felt no better than the Jetstar A330 that also flies Melbourne-Singapore. All in all I would probably take SQ again on my next business trip to Asia given their competitive pricing at the moment (SQ is at least $300 cheaper than Philippine Airlines when travelling between Aus and Phil). Changi airport is always a pleasure to use and as mentioned before the customer service with SQ is very good on and off the aircraft.,Singapore Airlines ,Economy Class,AIRBUS A380,2x4x2
7,pleasantly surprised at the level of comfort,I Hamilton,Australia,22nd January 2013,,I was pleasantly surprised at the level of comfort of the cattle class seating. I was travelling with my wife and we were fortunate enough to have a row of 3 seats to ourselves on both legs of the flight. While this allowed us a deal more comfort I have not factored this into this review. My score is based on the overall comfort of a single seat. The A380 is a very comfortable and quiet aircraft service of cabin staff was exceptional food was good however the entertainment selection onboard was perhaps not as varied as I had expected.,Singapore Airlines ,Economy Class,AIRBUS A380,3x4x3
3,getting out was a real challenge,A Percy,United Kingdom,18th January 2013,,We were put in the downstairs cabin - real cattle class. When the person in front reclined their seat when I was eating the tray hit my stomach. I am not a big person. Screen was so close to my eyes it gave me a headache after less than an hour. Getting out was a real challenge even though I had an aisle seat. There was no room to stand upright or even close to upright so I was at an angle of 45 deg and had to support my weight on one arm. Very disappointed.,Singapore Airlines ,Economy Class,AIRBUS A380,3x4x3
1,most uncomfortable seats ever,Martin Dufton,Australia,1st January 2013,,I don't get it. The best plane and they come up with the single worst most uncomfortable seats ever. Not sure what they were thinking but next holiday we are going Qatar Airways simply for the comfort factor.,Singapore Airlines ,Economy Class,AIRBUS A380,2x4x2
1,very uncomfortable impossible to sleep,Jacques Zimmer,France,24th December 2012,,Frankfurt-Singapore return. Very hard seat on upper deck poor recline very uncomfortable impossible to sleep.,Singapore Airlines ,Economy Class,AIRBUS A380,3x4x3
1,split my family up,James Stirling,United Kingdom,22nd October 2011,,Singapore Airlines split my family up despite booking several months in advance for a round trip from Heathrow to Singapore. The plane is quiet and food was quite good too. I thought the seating was poor because it is obviously designed with no thought to Westerners that are tall or full bodied and seat legroom is worse than other airlines. The service from the cabin crew was clinical and without a smile most of the time. In future I will not use Singapore Airlines.,Singapore Airlines ,Economy Class,A380,3x4x3
1,no seat recline at all,Dan Benhamou,Singapore,22nd October 2011,,I got the last seat on the plane furthest back. Avoid this seat at all cost - no seat recline at all! Conclusion unless you are in first or business class go somewhere else and do not pay a premium for a company which in fact does not provide you any extra service / experience.,Singapore Airlines ,Economy Class,BOEING 777-300ER,3x3x3
6,less seats and less people,James Lo,Indonesia,22nd October 2011,,Similar to some earlier comments the seats were really hard unlike SQ's 777-300ER that I normally flew. The only advantage of flying this A380 is you notice less noise on the cabin. The mood lighting was not that great because it was set only to red and orange LED all the time. My seat was on the upper deck with less seats and less people. I think it is always better to choose such seats. Being seated at the last two rows nearby the toilet (82E) might not be really pleasant due to the smell.,Singapore Airlines ,Economy Class,A330,2x4x2
2,after 5-6 hours my rear is just numb,U Sugianto,Singapore,5th September 2011,,The new SQ seats are hard. I fly regularly the SIN-Paris leg on Economy and after 5-6 hours my rear is just numb I have to get up to let the blood flow. Not only is the seat hard but the extremely limited incline of the backrest only allows your back to rest in a technically still sitting position. And that is hard for a 12-13 hour journey. I don't understand how SQ could have gotten this part so wrong.,Singapore Airlines ,Economy Class,A380,3x3x3
8,seat was nice and square shaped,Calvin Nagra,New Zealand,28th July 2011,,B777-300ER AKL-SIN and B777-200ER SIN-DEL. The 777-200 Economy Class seat was nice and square shaped meaning that it was not narrow like the new Singapore Airlines Economy Class. And it had more leg room and better lumbar support. I think the older Economy Class is much better than the new one.,Singapore Airlines ,Economy Class,BOEING 777-200ER,3x3x3
4,fell far short,Sue Howie,South Africa,23rd May 2011,,Fell far short of the standards expected on Singapore Airlines. Two weeks later my knees still ache.,Singapore Airlines ,Economy Class,A330,2x4x2
9,seats are solid yet not uncomfortable,Adam Guerin,United Kingdom,23rd May 2011,,I prebook my seat Row 42 or 43 as I use the toilets frequently due to a medical condition. I always find that the seats are solid yet not uncomfortable. Plenty of luggage storage above the seat and accessibility easy too. Egress from the seat is easy and the service is second to none.,Singapore Airlines ,Economy Class,A380,3x4x3
6,find the width of the seat quite uncomfortable,M Goh,Singapore,6th April 2011,,Being small I find the width of the seat quite uncomfortable. Did not recline my seat because of children seated behind. Once the seat in front is reclined the space is even more restricted and stepping out of your seat proved more challenging. If I can help it will not fly on A330 but unfortunately it's the kind of aircraft that SQ flies for the Taipei route.,Singapore Airlines ,Economy Class,A330,2x4x2
5,find the seats small,Casper Yap,United States,5th April 2011,,The 747 is an old product I find the seats small compared to the newer 777 by SQ. I like the arm rests folds up and I managed to lie flat over 4 seats.,Singapore Airlines ,Economy Class,Boeing 747-400,3x4x3
5,the padding was thin,J Weiss,Canada,5th April 2011,,The padding was thin and I needed to use the pillow as a lumbar support. The combination slide-forward/recline is a good compromise that limits intruding into someone's space when reclining your seat. I wish they would have stuck with the 34 inch pitch found on their 777-200's. Those extra two inches really do make a difference.,Singapore Airlines ,Economy Class,Boeing 777-300ER,3x3x3
3,found it extremely difficult to sleep,Michael Laws,Australia,15th December 2010,,The flight attendants were very kind and the food was good but the seats were like sitting on a rock. It was extremely cramped and I found it extremely difficult to sleep during the flight. I'm of a small stature and even I felt cramped. The in-flight pillows and blanket were scratchy. Their Boeing 777-300ER's are slightly better. If you ever go in economy sit on the in-flight pillows to create blood flow but use your own pillow or a jacket for your head if you are going to try to sleep on the flight.,Singapore Airlines ,Economy Class,A380,2x4x2
2,cramped narrow hard seats,Marshall Davies,Australia,15th December 2010,,Cramped narrow hard seats made even more constricted by having the AVOD remote in the side of the armrest. After 2 hours of our MEL-SIN flight both my wife & I were uncomfortable & I resorted to sitting on my pillow for the remainder of the flight. Awkward to get out of during he flight due to the tight seat pitch.,Singapore Airlines ,Economy Class,A380,2x4x2
2,seats incredibly hard and uncomfortable,Catherine Harkess,Singapore,22nd June 2010,,As a PPS Solitaire member that flies extensively all over the world in all classes I can say that the service has declined within the last 18 years. Find the new A380 economy seats incredibly hard and uncomfortable with poor pitch and lousy legroom for long journeys far prefer the old seats. SQ heats the cabin more than comfortably. Seem to offer the same food for the same route month after month after month. Far too popular so no longer can get choice of seats better value for money out there.,Singapore Airlines ,Economy Class,A380,2x4x2
6,as good as I expected,John Burlin,United Kingdom,6th June 2010,,I am 6'4 which is the only reason I am giving the seat a fair rating. It was at least as good as I expected and if I had not had my kids with me I could have gone for a preferred seat at a very low extra of $50. Be prepared to do lots of sideway sitting and stretching if you are 6' plus. SQ experience more than compensated for any legroom shortage though.,Singapore Airlines ,Economy Class,A380,2x4x2
8,there is limited to no overhead storage,Mark Sarakis,Australia,14th January 2010,,Upper Deck : Paid extra to book 71A & C which have no seats in front of them. While this is good there is limited (a small locker usually filled with blankets or other equipment) to no overhead storage and you either have to place your cabin bags in lockers further back (making them difficult to retrieve inflight and on landing) or hope the crew will place them in the crew cupboard in the bulkhead area (some are happy to and some are not!). There is no window at these seats and also no side storage bins. Most significantly the seats are next to the bulkhead section where the baby bassinets are located (there were one or more screaming babies on each leg!). It may be advisable to go with similar seats further back where you may only have people milling around waiting for the toilets.,Singapore Airlines ,Economy Class,A380,2x4x2
7,you can put the seat back at any time,Mark Sarakis,Australia,14th January 2010,,Had seat 59K (last row window). I found the B777 seats more comfortable (width and padding) than those of the A380. With no seat behind you can put the seat back at any time without worrying about others behind you. The bulkhead section nearby houses a galley (no toilets) and while there is some noise it tends only to be noticeable at meal service times. As the last 2 rows are only 2-abreast there is only one person to get past when getting out of your seat (I tend to prefer a window on longhaul as I have a broad upper body and so always tend to get bumped into by passersby on the aisle).,Singapore Airlines ,Economy Class,B777-200ER,3x3x3
7,food and service excellent,John Whiting,United Kingdom,11th January 2010,,"A380 LHR SIN and return. Upper Deck Seats 71 A and C. These are ""preferred"" seats and need to be booked in advance on the SIA website for a charge of $50 per sector. Well worth the extra as there is no one in front of you and the emergency exit does not intrude from the side (as it does on a 747). I think these are actually better that the exit seats further back on the upper deck as no one came up and stood in front of us on either flight whereas further back people milled around waiting for the toilet. The toilets next to our seats were for business class and curtained off so no one came to look out of the window from there. Seat was OK on the outward journey but felt quite hard and was somewhat uncomfortable towards the end of the return flight (This was probably because I had already sat on a 777-200ER for 10 hours with very hard seats!). Flight felt quite hot on the way back (although there were several people with blankets and jumpers so it may just have been me. I did discover 2 fresh air vents around the emergency exit door which improved matters considerably so it is worth looking for these. A380 noticably quieter that the 777. Food and service excellent as was the AVOD. I woulld certainly choose this airline/aircraft/seat in the future if at all possible.",Singapore Airlines ,Economy Class,A380,2x4x2
1,seats on the A380 are extremely hard,Lawrence Walsh,Australia,11th January 2010,,The economy class seats on the A380 are extremely hard - almost unbearably so for a long haul flight. Based on the hardness of the seats alone I would not fly on this aircraft again. We paid an extra charge to sit at the front of the upper deck economy cabin - do not waste your money - the aircraft windows are not aligned to these seats there is no side storage bin no above storage making it inconvenient to store items for take off and landing and no footrests. The only advantage is it is easier to get up from your seat. Service was not great for Singapore Airlines - and the hard seat - awful!,Singapore Airlines ,Economy Class,A380,2x4x2
2,hard to get your legs comfortable,M Muller,Australia,11th January 2010,,"The footrest makes it hard to stretch your feet out underneath the seat in front of you, also there is a bar underneath the seat in front of you making it hard to get your legs comfortable.",Singapore Airlines ,Economy Class,B777-300W,3x3x3
4,problem was the hardness of the seat,John Whiting,United Kingdom,10th January 2010,,SIA 777-200ER SIN-AKL and CHC-SIN (all the SAI 777-200 planes to New Zealand are the ER type). Seat pitch was good. The problem was the hardness of the seat and a ridge running accross it. The padding was very thin at the back and probably old and compressed (I pulled the seat cushion up to have a look) and there is a pneumatic cushion at the front of the seat so that you can change the thigh support (via a small button on the front left of the seat cushion operating a valve. There is also a similar pneumatic lumbar support). The problem was firstly the hardness of the seat and secondly the junction between the foam and this pneumatic cushion which caused a ridge that cut into my upper thighs. The overall result is a very uncomfortable seat. Both flights had the full AVOD system which was nice and service was good (but not as good as on the A380) as was the food. The seat would not put me off flying SIA again as the A380 was good and staying overnight at Changi was excellent (40 minutes from aircraft arriving at the gate to checking in at the airport hotel and fantastic and incredibly cheap food at the food court on B2 level) but in future I'd try to fly on the 777-300ER which I believe has the same seats as the A380.,Singapore Airlines ,Economy Class,B777-200ER,3x3x3
4,seat pitch was impossible,S Borggren,United Kingdom,4th December 2009,,Flight in Y class SIN-PER was a miserable experience for 5 hours on the A330-300. The seat pitch was impossible for a tall person like myself.,Singapore Airlines ,Economy Class,A330-300,2x4x2
6,service standard very good,Michael O'Grady,Australia,4th December 2009,,MEL-SIN and SIN-MEL A380 service. I found the aircraft cabin to be very clean and spacious and the service standard very good. The first sector was on the main deck seat 48K (window) 3x4x3 and the next seat on the upper deck 74K (window) 2x4x2. The seats were well designed and ergonomic however the seat cushion was extremely hard probably the worst I have experienced on a longhaul flight. After two hours I was in pain and had to stand up. The seats have foot rests but these are almost useless for a tall person and when those in front are fully reclined it it almost impossible to get out without the people beside you getting up. The upper deck seating configuration in economy is generally much more pleasant typical of A330/A340 cabins.,Singapore Airlines ,Economy Class,A380,2x4x2
7,seat-width could be an inch or two bigger,Chris Frauches,United States,4th December 2009,,SIA's economy class seat on their B747-400 looks very elegant-with useful adjustable head- rests. Seat-pitch and reclining is generous for economy. However seat-width could be an inch or two bigger. Also padding at the lower-back definitely lacked. All in all an acceptable seat.,Singapore Airlines ,Economy Class,B747-400,3x4x3
5,trapped in the window seat,E Irick,Germany,10th November 2009,,"SIN-MEL didnt realise the configuration of the aircraft was 3x4x3, I would not choose a window seat again as getting up to walk/use restrooms was very difficult and at times impossible. Really liked the footrest and the seat when reclined slid forward slightly. But being trapped in the window seat with person in front fully reclined was a truly horrible experience.",Singapore Airlines ,Economy Class,A380,3x4x3
5,very little leg room,Peter Schoenholzer,Australia,10th November 2009,,In the back section of the aircraft where the space gets smaller (2x3x2 seating) aisle seats on 2 section very little leg room. I would recommend this seats to people small in stature. The new seats are not as comfortable as the old ones.,Singapore Airlines ,Economy Class,A330-300,2x4x2
5,found seat to be uncomfortable,Martin Jones,Australia,12th October 2009,,Upper deck economy seating is good as only 2 seats next to window with generous storage area next to window seat. Found seat to be uncomfortable after a few hours due to little lumbar support ended up with sore back. seat backs felt hard and recline was not as good as other economy seats.,Singapore Airlines ,Economy Class,A380,2x4x2
3,one of the most uncomfortable seats,Michael Schade,Singapore,6th October 2009,,Economy class 11hrs from Singapore to Johannesburg. One of the most uncomfortable seats I've experienced in 30 years of flying long haul. This seat is a nightmare for any flight beyond 3 hours.,Singapore Airlines ,Economy Class,Boeing 777-200ER,3x3x3
10,seat pitch and width are very satisfactory,J Wong,Hong Kong,20th September 2009,,The seat pitch and width are very satisfactory. The seat reclines slightly to the back and the seat cushion moves forward when it is fully reclined - excellent. The angle of the movable AVOD screen is large enough for me to see it clearly. The aircraft has installed footrest to each seat but I didn't use it because I am not tall. AVOD system was marvellous as there are many selections of programmes and applications and screen resolution is high.,Singapore Airlines ,Economy Class,A380,2x4x2
7,ended up with very sore shins,J Massey-Green,New Zealand,3rd March 2009,,Sat in 79A. Positives - Window seat has a large locker between the window and the seat meaning that I did not have to get up at all through the flight for laptop/book/iPod/etc. Seats A and C share a 110/240 volt power socket meaning I could watch video on my laptop the whole trip and resting the laptop on the lid of locker meant the laptop could still be open while I ate the meal. Negative - I ended up with very sore shins as when I slept I slid forward and my shins were resting up against the 'footrest'. I tried using the footrest but found it too high to be comfortable - probably a little better for those under 6 foot.,Singapore Airlines ,Economy Class,Airbus A380,2x4x2
9,Seats 58A 58K 59A 59K have extra room,Shirley Shih,New Zealand,19th January 2009,,Seats 58A 58K 59A 59K have extra room between the seat and the wall of the airplane - seat layout in the last two rows is 2x3x2.,Singapore Airlines ,Economy Class,Airbus Boeing 777-200ER,3x3x3
10,lots of legroom beside the emergency exit,Christian Sagmeister,Austria,13th January 2009,,I´ve had seat 54H on Flight SIN-LHR. There is lots of legroom beside the emergency exit but no footrest. Personal TV is stowed inside the seat.,Singapore Airlines ,Economy Class,Airbus A380,3x4x3
7,Not a bad flight,Alex Hudson,Canada,31st January 2019,0," Not a bad flight, food was pretty good and the attendants were very nice, but as I was trying to sleep it was not very comfortable - would have been ok for a short flight but not great when you are talking 12 hours. Economy would be a whole lot better if the pillows you got were not 4 cm thick and you could block out some of the noise",ANA All Nippon Airways ,Economy Class,Boeing 777,3x4x3
6,width and legroom were quite good,Marcus Wong,Malaysia,15th February 2017,," Flew ANA's Boeing 787. Seat width and legroom were quite good. Felt that it was very spacious. The distance of the IFE system to my face was good. Didn't feel cramped. However, the seat recline was bad. It couldn't seem to recline.  What worse is that it's a red-eye flight back to Kuala Lumpur. By the way, was surprised to see a USB port below my screen because I thought there wouldn't be a USB port there! Seat storage was quite limited. Access to my seat by the window was normal.",ANA All Nippon Airways ,Economy Class,Boeing 787,3x3x3
9,34 inch pitch is brilliant,S Bream,Australia,18th December 2016,," Having now done 4 flights with ANA from Sydney to Europe,  the economy seat configuration basically seems to be 34” if you’re on a Boeing 787-9 and 31” on a Boeing 787-8. The 787-9 is missing a window around row 33/34 (or seat 38 in the 40-row version), but actually, when both seats are reclined, everybody gets a bit of window. I travelled in the exit row window, 28A, and the same applies — you see a little when reclined. The escape chute was not too “bothersome” however the general wall curvature around that area makes the A/B seats even squashier than usual laterally and I wouldn’t choose it again. That’s the real pity about these planes: instead of 8 across, most airlines have crammed 9, making the 787 synonymous with extremely narrow seats. The 34 inch pitch is brilliant though (hence my rating) — if you can be certain you’ll be flying in a 787-9; my leg HND—CDG which was scheduled as a Boeing 787-9 when I bought it suddenly got a Boeing 787-8 substituted and legroom was unbearable as soon as you reclined your seat. If I was reviewing that flight it'd be 5/10.",ANA All Nippon Airways ,Economy Class,Boeing 787-9,3x3x3
7,service is outstanding,Mayer Sng,Singapore,24th September 2016,," Travelled from Sapporo to Tokyo (Narita). Was a really short flight, but service is outstanding! Cabin crew walked around to hand out blankets and sweets before take off. No meal service though. But drinks and soup were available! Even in a short flight, headsets were still given for us to watch the overhead flight entertainment system. Seat were comfy enough for the whole ride and had a really pleasant flight though communication with the cabin crew was a little hard.",ANA All Nippon Airways ,Economy Class,Boeing 737-800,3x3
9,seat itself is quite roomy,N Shane,Canada,25th May 2016,,"I am not a tall person (5'6) so legroom was never a problem for me. However, I was seated with a guy who is probably about 6'1 and his knees were still not touching the back seat in front of him. The seat itself is quite roomy, clean and comfortable. The headrest and footrest are a bonus feature that makes it your flight bearable. In-seat power (USB and actual power outlet) are available.",ANA All Nippon Airways ,Economy Class,Boeing 787-8/9,3-3-3
6,struggled with the legroom,Vyshak Vitobha,India,19th April 2016,,"Flew ANA from Delhi to Tokto Narita on a Boeing 767 aircraft. The flight was an overnight 8 hour flight and I was concerned about my night's sleep, which is essential to me. While I tried my best to grab an emergency exit seat, but they were all taken and ended up with an aisle seat. I an 6ft tall and I was seated with a equally tall gentleman and we both struggled with the legroom. I was lucky as I had an aisle seat and could pop my leg out on the aisle every now on them. The service on ANA was excellent. Cabin crew were very helpful and the food was delicious, but the legroom is still an issue.",ANA All Nippon Airways ,Economy Class,Boeing 767,2x3x2
8,more legroom than B767,Vyshak Vitobha,India,19th April 2016,,"ANA only recently started the Boeing 787 service from Tokyo to Mumbai and I got a chance to fly this route in April 2016. The equipment used on the route is Boeing 787-8, one of the earlier delivered to ANA, probably 2011. While I was lucky to get the emergency exit seat 20K, I managed to try the other seats for legroom. The seats in the Boeing 787 have definitely more legroom than the B767, which I flew to reach Tokyo. However, the seats still did not recline much. I did not bother much as it was day flight. In flight entertainment was very good with latest movies and meals have always been excellent in ANA.",ANA All Nippon Airways ,Economy Class,Boeing 787-8,3x3x3
8,Recommend these seats,Sandy Layadi,Indonesia,29th February 2016,,Tokyo Haneda to Osaka Itami on a Boeing 767-300. Seats was 2x3x2 and it was much more comfortable compared to the Hong Kong to Tokyo Narita. It's now easy to recline than the previous international flight. Legroom was much specious than other aircraft. But no TV screen on the flight. Width was small. Storage was huge and no power supply. Recommend these seats.,ANA All Nippon Airways ,Economy Class,Boeing 767-300,2x3x2
1,seats not that comfortable,Sandy Layadi,Indonesia,28th February 2016,,"Hong Kong to Tokyo Narita. The 787-8 was not new since it was made in 2011. The seats were not that comfortable, legroom was quite small and recline was so hard, because people behind me told me not to do that. TV screen was near my seat. The storage was small and my power supply didn't work. I will avoid this aircraft in the future. But other ANA service was even better. ",ANA All Nippon Airways ,Economy Class,Boeing 787-8,3x3x3
2,your neck will be bent,Marcus Fischer,Germany,26th February 2016,,"Had a pretty bad experience with ANA Economy Seats on a recent Boeing 777-300ER flight from Tokyo to Frankfurt. Unlike other economy seats I've experienced, the back of the seat is fixed in a way that the person behind you is not bothered by your reclined seat. When you press your recline button your cushion will move forward (slightly reducing your legroom). As a result the backrest will incline however the headrest will remain fixed and vertical, which means your neck will be bent quite uncomfortably. Not only is it hard to sleep in this position but after a 12 hrs flight you'll also have the stiffest neck you've had for along time.",ANA All Nippon Airways ,Economy Class,Boeing 777-300ER,3x4x3
4,new arrangement (3x3x3) is poor,Mark Gleeson,Japan,23rd November 2015,,I flew on a ANA Boeing 787 flight from Seattle to Tokyo Narita with my wife and baby daughter. The flight was 10 hours long and we had the bassinet seat at the bulkhead in the rear cabin. I had previously been on the same aircraft type on ANA in the 2x4x2 economy arrangement which was really nice. This new arrangement (3x3x3) is poor. There was much less space and the bassinet / wall design was sculpted making it awkward with reduced space since the cot is mounted low. It has much less space in comparison to their 777 cabin design in a similar seat; or A330/A340 cabin design on another airline. I don't think this narrower width of seat is suitable for long haul travel. I strongly recommend avoiding this plane for those travelling with a baby. ANA flight attendants are wonderful but unfortunately it doesn't make up for poor cabin design sometimes.,ANA All Nippon Airways ,Economy Class,Boeing 787-8,3x3x3
9,seat was nice and comfortable,Mikael Uthaug,Norway,14th September 2015,,ANA All Nippon Airways premium economy class seat was nice and comfortable on this flight with their Boeing 777-300ER.,ANA All Nippon Airways ,Premium Economy,Boeing 777-300ER,2x4x2
10,better than I expected it to be,Jordan Erdmann,United States,28th July 2015,,"ANA's 3x4x3 layout is better than I expected it to be. The seats are comfortable and leave plenty of room for larger westerners to stretch. The aisles are narrower, but no different than domestic airlines in the states. PTV had a great selection of movies and music; my only complaint would be the TV show programming. They feature a lot of popular drama shows from the USA, but no comedies.",ANA All Nippon Airways ,Economy Class,Boeing 777-300ER,3x4x3
6,lack of space on the aircraft,Howard Cheng,New Zealand,16th July 2015,,"I was really looking forward to a nice flight with ANA on Economy from Tokyo HND to Vancouver YVR, but there is a lack of space on the aircraft, especially for a gruelling 8.5 hours. Seats were thin and as hard, legroom was tight but the worst part was that when you reclined, the seat base slid forward, causing less legroom. The plane was amazing, though, and it was quite an experience to try out the new Dreamliner. The windows dimmed by pressing a button, cabin pressure and humidity was higher and you could feel the difference after a long flight. Cabin crew service was great and the food was, as usual, really tasty and of high standard. I will fly ANA again.",ANA All Nippon Airways ,Economy Class,Boeing 787-800,3x3x3
8,seat width was a bit too tight,Chi-Yu Chen,Taiwan,28th January 2015,,I flew SEA-NRT via 787-8 and was a nice ride. I am Asian male but the seat width was a bit too tight. Seat pitch and recline was more than enough. PTV is very accurate and responsive with the USB and audio Jack. I would fly ANA again much better than United.,ANA All Nippon Airways ,Economy Class,BOEING 787,3x3x3
2,planes were so hot and stuffy,D Seid,United States,28th January 2015,,I flew ANA roundtrip Honolulu to Haneda Tokyo. The planes were so hot and stuffy that it was terribly uncomfortable. There were blankets on every seat but no one used them in the entire plane. I am not unusually tall. I am Asian but my knees could touch the seat in front of me as the rows were close together. The head rest with flaps did not go up or down to adjust to different heights of people. PTV screens were small. The cabin attendants were smiling and graciously took care of passengers efficiently and the meals were good.,ANA All Nippon Airways ,Economy Class,BOEING 777-200ER/767-300ER,3x3x3
1,tightest seating configuration,E Meyer,Switzerland,28th January 2015,,MUC-HND on B787. The tightest seating configuration I have experienced on a long haul flight. 16.5 inch wide seat and 31' pitch - this has to be the worst. The in-seat screen from the seat in front of me was so close that it was hard to focus. ANA has gone from having one of the most comfortable economy classes to the very worst.,ANA All Nippon Airways ,Economy Class,BOEING 787,3x3x3
8,lots of legroom,R Mahida,United States,25th July 2014,,Bulkhead seat provided lots of legroom to fully stretch out legs plus easy access to aisles even from middle seats. The entertainment system is a pull out style on bulkhead seats.,ANA All Nippon Airways ,Economy Class,BOEING 777-300,3x4x3
